"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.onlinepokerwebsites.com/","1040","204","5,098","80,617","Easy","","","","","","","","","","en","351532115532a1921dda557394cbb952","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/sportsbetting-ag/","848","165","5,139","69,431","Normal","","","","","","","","","","en","a7a931d27a499472ca0fb282480e1a86","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/poker-tournament-formats-explained-2026/","1293","173","7,474","69,306","Normal","","","","","","","","","","en","e78d49380ed47864a9d2dbf3e4f4c8f6","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/protecting-your-poker-account-security-2026/","1360","166","8,193","62,599","Normal","","","","","","","","","","en","934eab0e1745cae828538bfb6d2de3bc","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/us-poker-legality/","682","97","7,031","60,270","Normal","","","","","","","","","","en","9fc4bd22709f38273caf3284eeec6f6","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/multi-tabling-online-poker-how-many-tables-2026/","1408","178","7,910","73,649","Fairly Easy","","","","","","","","","","en","c7342f561f382615ce2c4753401b680e","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/how-to-choose-a-poker-site/","781","121","6,455","73,221","Fairly Easy","","","","","","","","","","en","9544261a1a4ebd04fa13ca55b60e0daa","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/deposits-and-withdrawals/","584","83","7,036","74,677","Fairly Easy","","","","","","","","","","en","dab528f80f1f4e3e06b9b8518621b3d4","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/about/","366","50","7,320","68,345","Normal","","","","","","","","","","en","428da541311c0bd5aae2b7a0a4f1336f","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/tigergaming/","854","154","5,545","69,353","Normal","","","","","","","","","","en","29adddc9683afcd48fa97a37a5214693","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/black-chip-poker/","885","155","5,710","76,482","Fairly Easy","","","","","","","","","","en","42c7f351d187e27487f5045fd0a34df0","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/americas-cardroom/","964","164","5,878","69,318","Normal","","","","","","","","","","en","8530ab746157ddc7e5e83e718a348b73","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/","859","142","6,049","74,632","Fairly Easy","","","","","","","","","","en","cce3d5c68146ceeac3c5cff9b7e6f66","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/responsible-gambling/","327","48","6,812","75,737","Fairly Easy","","","","","","","","","","en","e600611143ffb37c28e94052bd6a4c9","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/poker-bonuses-explained/","649","94","6,904","74,817","Fairly Easy","","","","","","","","","","en","87af3437ec4a3be0dcb8a4ff728b032b","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/guides/canada-online-poker/","496","76","6,526","41,586","Hard","","","","","","","","","","en","499166ef7bc4f602adc90b7b73a06278","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/reviews/betonline-poker/","870","153","5,686","72,121","Fairly Easy","","","","","","","","","","en","53eb7dbfa594897c1a2111cbeb0da1cc","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/sportsbetting-ag-poker-crossover-2026/","1184","169","7,006","68,180","Normal","","","","","","","","","","en","4c24787463926abc13d519281431e2e1","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/stablecoins-poker-bankrolls-mainstream-2026/","819","108","7,583","71,257","Fairly Easy","","","","","","","","","","en","47e66cbcb06126c8422749b51e9f5a7d","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/acr-venom-2026-record-guarantees/","1022","132","7,742","65,123","Normal","","","","","","","","","","en","8f44d811fc1b3f9146e2d0db3d35095f","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/chico-vs-winning-poker-network-2026/","814","121","6,727","68,950","Normal","","","","","","","","","","en","ffae13104b00791054ce4fa2f38ca07b","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/crypto-default-offshore-poker-2026/","892","117","7,624","71,912","Fairly Easy","","","","","","","","","","en","59379ed3a5139dfbdc4b4964e37abe40","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/online-poker-tournament-guarantees-new-highs-2026/","762","108","7,056","58,785","Fairly Hard","","","","","","","","","","en","cdafd184cf1dc2da1a14ab5db54e1f36","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/tigergaming-cash-game-room-spotlight-2026/","1068","142","7,521","63,904","Normal","","","","","","","","","","en","14c0f5b3add755de56e6738462a8ebbc","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/responsible-gambling-tools-improving-offshore-2026/","792","104","7,615","63,767","Normal","","","","","","","","","","en","c44cb7cb484141bca965a208dbcfeb21","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/how-to-read-poker-welcome-bonus-2026/","846","113","7,487","78,036","Fairly Easy","","","","","","","","","","en","504bb855ac8e6b480a546980deb28275","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/solvers-gto-recreational-players-2026/","1032","139","7,424","64,038","Normal","","","","","","","","","","en","54f5e202da42c165c60f9353f1518106","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/black-chip-poker-rewards-explained-2026/","769","105","7,324","68,156","Normal","","","","","","","","","","en","d6a337678ddad1d143571a3ae4f39373","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/ontario-regulated-poker-lessons-2026/","837","117","7,154","49,073","Hard","","","","","","","","","","en","752b404bdd4d631924102941f811d5c8","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/first-online-poker-site-beginner-roadmap-2026/","1094","153","7,150","68,888","Normal","","","","","","","","","","en","a308d188e04d19640157533631d82a52","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/online-poker-bankroll-management-2026/","1313","164","8,006","71,068","Fairly Easy","","","","","","","","","","en","4ac3ab6aba4b6e2964d449517dcbfbe3","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/us-online-poker-2026-state-regulation-outlook/","866","115","7,530","58,420","Fairly Hard","","","","","","","","","","en","915e8a54e80089375da3b193912143d0","Non-Indexable","Canonicalised"
"https://www.onlinepokerwebsites.com/news/vetting-offshore-poker-site-before-deposit-2026/","1206","153","7,882","65,551","Normal","","","","","","","","","","en","e058e0abff719f5fbfef8e01c5adb45f","Non-Indexable","Canonicalised"
